quota,instcd,brcd,Cat,SubCat,TSeat,stcd1,stcd2,stcd3,stcd4,stcd5,stcd6,stcd7,stcd8,stcd9,stcd10
AI,DPU,ECE,OP,PH,0,,,,,,,,,,
AI,DPU,ECE,SC,NO,3,,,,,,,,,,
AI,DPU,ECE,SC,PH,1,,,,,,,,,,
AI,DPU,ECE,ST,NO,1,,,,,,,,,,
AI,DPU,ECE,ST,PH,0,,,,,,,,,,
AI,DPU,ECE,BC,NO,7,,,,,,,,,,
AI,DPU,ECE,BC,PH,0,,,,,,,,,,
AI,DPU,ELE,OP,NO,30,,,,,,,,,,
AI,DPU,ELE,OP,PH,1,,,,,,,,,,
AI,DPU,ELE,SC,NO,9,,,,,,,,,,
AI,DPU,ELE,SC,PH,0,,,,,,,,,,
AI,DPU,ELE,ST,NO,4,,,,,,,,,,
AI,DPU,ELE,ST,PH,0,,,,,,,,,,
AI,DPU,ELE,BC,NO,16,,,,,,,,,,
AI,DPU,ELE,BC,PH,0,,,,,,,,,,
AI,DPU,FTE,OP,NO,11,,,,,,,,,,
AI,DPU,FTE,OP,PH,1,,,,,,,,,,
AI,DPU,FTE,SC,NO,4,,,,,,,,,,
AI,DPU,FTE,SC,PH,0,,,,,,,,,,
AI,DPU,FTE,ST,NO,2,,,,,,,,,,
AI,DPU,FTE,ST,PH,0,,,,,,,,,,
AI,DPU,FTE,BC,NO,7,,,,,,,,,,
AI,DPU,FTE,BC,PH,0,,,,,,,,,,
AI,DPU,ICE,OP,NO,12,,,,,,,,,,
AI,DPU,ICE,OP,PH,0,,,,,,,,,,
AI,DPU,ICE,SC,NO,4,,,,,,,,,,
AI,DPU,ICE,SC,PH,0,,,,,,,,,,
AI,DPU,ICE,ST,NO,2,,,,,,,,,,
AI,DPU,ICE,ST,PH,0,,,,,,,,,,
AI,DPU,ICE,BC,NO,6,,,,,,,,,,
AI,DPU,ICE,BC,PH,1,,,,,,,,,,
AI,DPU,MFC,OP,NO,15,,,,,,,,,,
AI,DPU,MFC,OP,PH,1,,,,,,,,,,
AI,DPU,MFC,SC,NO,4,,,,,,,,,,
AI,DPU,MFC,SC,PH,0,,,,,,,,,,
AI,DPU,MFC,ST,NO,3,,,,,,,,,,
AI,DPU,MFC,ST,PH,0,,,,,,,,,,
AI,DPU,MFC,BC,NO,8,,,,,,,,,,
AI,DPU,MFC,BC,PH,0,,,,,,,,,,
AI,DPU,MWT,OP,NO,15,,,,,,,,,,
AI,DPU,MWT,OP,PH,0,,,,,,,,,,
AI,DPU,MWT,SC,NO,5,,,,,,,,,,
AI,DPU,MWT,SC,PH,0,,,,,,,,,,
AI,DPU,MWT,ST,NO,2,,,,,,,,,,
AI,DPU,MWT,ST,PH,0,,,,,,,,,,
AI,DPU,MWT,BC,NO,8,,,,,,,,,,
AI,DPU,MWT,BC,PH,1,,,,,,,,,,
AI,DTU,CIV,OP,NO,10,,,,,,,,,,
AI,DTU,CIV,OP,PH,0,,,,,,,,,,
AI,DTU,CIV,SC,NO,3,,,,,,,,,,
AI,DTU,CIV,SC,PH,0,,,,,,,,,,
AI,DTU,CIV,ST,NO,2,,,,,,,,,,
AI,DTU,CIV,ST,PH,0,,,,,,,,,,
AI,DTU,CIV,BC,NO,6,,,,,,,,,,
AI,DTU,CIV,BC,PH,0,,,,,,,,,,
AI,DTU,CSE,OP,NO,10,,,,,,,,,,
AI,DTU,CSE,OP,PH,0,,,,,,,,,,
AI,DTU,CSE,SC,NO,3,,,,,,,,,,
AI,DTU,CSE,SC,PH,0,,,,,,,,,,
AI,DTU,CSE,ST,NO,1,,,,,,,,,,
AI,DTU,CSE,ST,PH,0,,,,,,,,,,
AI,DTU,CSE,BC,NO,6,,,,,,,,,,
AI,DTU,CSE,BC,PH,0,,,,,,,,,,
AI,DTU,ECE,OP,NO,10,,,,,,,,,,
AI,DTU,ECE,OP,PH,0,,,,,,,,,,
AI,DTU,ECE,SC,NO,3,,,,,,,,,,
AI,DTU,ECE,SC,PH,1,,,,,,,,,,
AI,DTU,ECE,ST,NO,1,,,,,,,,,,
AI,DTU,ECE,ST,PH,0,,,,,,,,,,
AI,DTU,ECE,BC,NO,6,,,,,,,,,,
AI,DTU,ECE,BC,PH,0,,,,,,,,,,
AI,DTU,ELE,OP,NO,6,,,,,,,,,,
AI,DTU,ELE,OP,PH,0,,,,,,,,,,
AI,DTU,ELE,SC,NO,2,,,,,,,,,,
AI,DTU,ELE,SC,PH,0,,,,,,,,,,
AI,DTU,ELE,ST,NO,1,,,,,,,,,,
AI,DTU,ELE,ST,PH,0,,,,,,,,,,
AI,DTU,ELE,BC,NO,3,,,,,,,,,,
AI,DTU,ELE,BC,PH,0,,,,,,,,,,
AI,DTU,FET,OP,NO,6,,,,,,,,,,
AI,DTU,FET,OP,PH,0,,,,,,,,,,
AI,DTU,FET,SC,NO,2,,,,,,,,,,
AI,DTU,FET,SC,PH,0,,,,,,,,,,
AI,DTU,FET,ST,NO,1,,,,,,,,,,
AI,DTU,FET,ST,PH,0,,,,,,,,,,
AI,DTU,FET,BC,NO,3,,,,,,,,,,
AI,DTU,FET,BC,PH,0,,,,,,,,,,
AI,DTU,MEC,OP,NO,10,,,,,,,,,,
AI,DTU,MEC,OP,PH,1,,,,,,,,,,
AI,DTU,MEC,SC,NO,3,,,,,,,,,,
AI,DTU,MEC,SC,PH,0,,,,,,,,,,
AI,DTU,MEC,ST,NO,1,,,,,,,,,,
AI,DTU,MEC,ST,PH,0,,,,,,,,,,
AI,DTU,MEC,BC,NO,6,,,,,,,,,,
AI,DTU,MEC,BC,PH,0,,,,,,,,,,
AI,DVJ,ARC,OP,NO,37,,,,,,,,,,
AI,DVJ,ARC,OP,PH,1,,,,,,,,,,
AI,DVJ,ARC,SC,NO,11,,,,,,,,,,
AI,DVJ,ARC,SC,PH,0,,,,,,,,,,
AI,DVJ,ARC,ST,NO,6,,,,,,,,,,
AI,DVJ,ARC,ST,PH,0,,,,,,,,,,
AI,DVJ,ARC,BC,NO,19,,,,,,,,,,
AI,DVJ,ARC,BC,PH,1,,,,,,,,,,
AI,DVJ,PLN,OP,NO,14,,,,,,,,,,
AI,DVJ,PLN,OP,PH,1,,,,,,,,,,
AI,DVJ,PLN,SC,NO,5,,,,,,,,,,
AI,DVJ,PLN,SC,PH,0,,,,,,,,,,
AI,DVJ,PLN,ST,NO,2,,,,,,,,,,
AI,DVJ,PLN,ST,PH,0,,,,,,,,,,
AI,DVJ,PLN,BC,NO,8,,,,,,,,,,
AI,DVJ,PLN,BC,PH,0,,,,,,,,,,
AI,IAA,ITY,OP,NO,45,,,,,,,,,,
AI,IAA,ITY,OP,PH,1,,,,,,,,,,
AI,IAA,ITY,SC,NO,14,,,,,,,,,,
AI,IAA,ITY,SC,PH,0,,,,,,,,,,
AI,IAA,ITY,ST,NO,7,,,,,,,,,,
AI,IAA,ITY,ST,PH,0,,,,,,,,,,
AI,IAA,ITY,BC,NO,24,,,,,,,,,,
AI,IAA,ITY,BC,PH,1,,,,,,,,,,
AI,IAL,BID,OP,NO,22,,,,,,,,,,
AI,IAL,BID,OP,PH,1,,,,,,,,,,
AI,IAL,BID,SC,NO,7,,,,,,,,,,
AI,IAL,BID,SC,PH,0,,,,,,,,,,
AI,IAL,BID,ST,NO,3,,,,,,,,,,
AI,IAL,BID,ST,PH,0,,,,,,,,,,
AI,IAL,BID,BC,NO,12,,,,,,,,,,
AI,IAL,BID,BC,PH,0,,,,,,,,,,
AI,IAL,ECE,OP,NO,40,,,,,,,,,,
AI,IAL,ECE,OP,PH,1,,,,,,,,,,
AI,IAL,ECE,SC,NO,12,,,,,,,,,,
AI,IAL,ECE,SC,PH,0,,,,,,,,,,
AI,IAL,ECE,ST,NO,6,,,,,,,,,,
AI,IAL,ECE,ST,PH,0,,,,,,,,,,
AI,IAL,ECE,BC,NO,20,,,,,,,,,,
AI,IAL,ECE,BC,PH,2,,,,,,,,,,
AI,IAL,EEM,OP,NO,4,,,,,,,,,,
AI,IAL,EEM,OP,PH,0,,,,,,,,,,
AI,IAL,EEM,SC,NO,1,,,,,,,,,,
AI,IAL,EEM,SC,PH,0,,,,,,,,,,
AI,IAL,EEM,ST,NO,0,,,,,,,,,,
AI,IAL,EEM,ST,PH,0,,,,,,,,,,
AI,IAL,EEM,BC,NO,2,,,,,,,,,,
AI,IAL,EEM,BC,PH,0,,,,,,,,,,
AI,IAL,EMI,OP,NO,2,,,,,,,,,,
AI,IAL,EMI,OP,PH,0,,,,,,,,,,
AI,IAL,EMI,SC,NO,1,,,,,,,,,,
AI,IAL,EMI,SC,PH,0,,,,,,,,,,
AI,IAL,EMI,ST,NO,0,,,,,,,,,,
AI,IAL,EMI,ST,PH,0,,,,,,,,,,
AI,IAL,EMI,BC,NO,1,,,,,,,,,,
AI,IAL,EMI,BC,PH,0,,,,,,,,,,
AI,IAL,IMI,OP,NO,5,,,,,,,,,,
AI,IAL,IMI,OP,PH,0,,,,,,,,,,
AI,IAL,IMI,SC,NO,1,,,,,,,,,,
AI,IAL,IMI,SC,PH,0,,,,,,,,,,
AI,IAL,IMI,ST,NO,1,,,,,,,,,,
AI,IAL,IMI,ST,PH,0,,,,,,,,,,
AI,IAL,IMI,BC,NO,2,,,,,,,,,,
AI,IAL,IMI,BC,PH,0,,,,,,,,,,
AI,IAL,ITB,OP,NO,3,,,,,,,,,,
AI,IAL,ITB,OP,PH,1,,,,,,,,,,
AI,IAL,ITB,SC,NO,1,,,,,,,,,,
AI,IAL,ITB,SC,PH,0,,,,,,,,,,
AI,IAL,ITB,ST,NO,0,,,,,,,,,,
AI,IAL,ITB,ST,PH,0,,,,,,,,,,
AI,IAL,ITB,BC,NO,2,,,,,,,,,,
AI,IAL,ITB,BC,PH,0,,,,,,,,,,
AI,IAL,ITC,OP,NO,4,,,,,,,,,,
AI,IAL,ITC,OP,PH,0,,,,,,,,,,
AI,IAL,ITC,SC,NO,1,,,,,,,,,,
AI,IAL,ITC,SC,PH,0,,,,,,,,,,
AI,IAL,ITC,ST,NO,0,,,,,,,,,,
AI,IAL,ITC,ST,PH,0,,,,,,,,,,
AI,IAL,ITC,BC,NO,2,,,,,,,,,,
AI,IAL,ITC,BC,PH,0,,,,,,,,,,
AI,IAL,ITH,OP,NO,4,,,,,,,,,,
AI,IAL,ITH,OP,PH,0,,,,,,,,,,
AI,IAL,ITH,SC,NO,1,,,,,,,,,,
AI,IAL,ITH,SC,PH,0,,,,,,,,,,
AI,IAL,ITH,ST,NO,0,,,,,,,,,,
AI,IAL,ITH,ST,PH,0,,,,,,,,,,
AI,IAL,ITH,BC,NO,2,,,,,,,,,,
AI,IAL,ITH,BC,PH,0,,,,,,,,,,
AI,IAL,ITI,OP,NO,3,,,,,,,,,,
AI,IAL,ITI,OP,PH,0,,,,,,,,,,
AI,IAL,ITI,SC,NO,1,,,,,,,,,,
AI,IAL,ITI,SC,PH,0,,,,,,,,,,
AI,IAL,ITI,ST,NO,1,,,,,,,,,,
AI,IAL,ITI,ST,PH,0,,,,,,,,,,
AI,IAL,ITI,BC,NO,2,,,,,,,,,,
AI,IAL,ITI,BC,PH,0,,,,,,,,,,
AI,IAL,ITR,OP,NO,3,,,,,,,,,,
AI,IAL,ITR,OP,PH,0,,,,,,,,,,
AI,IAL,ITR,SC,NO,1,,,,,,,,,,
AI,IAL,ITR,SC,PH,0,,,,,,,,,,
AI,IAL,ITR,ST,NO,1,,,,,,,,,,
AI,IAL,ITR,ST,PH,0,,,,,,,,,,
AI,IAL,ITR,BC,NO,2,,,,,,,,,,
AI,IAL,ITR,BC,PH,0,,,,,,,,,,
AI,IAL,ITS,OP,NO,3,,,,,,,,,,
AI,IAL,ITS,OP,PH,0,,,,,,,,,,
AI,IAL,ITS,SC,NO,1,,,,,,,,,,
AI,IAL,ITS,SC,PH,0,,,,,,,,,,
AI,IAL,ITS,ST,NO,1,,,,,,,,,,
AI,IAL,ITS,ST,PH,0,,,,,,,,,,
AI,IAL,ITS,BC,NO,2,,,,,,,,,,
AI,IAL,ITS,BC,PH,0,,,,,,,,,,
AI,IAL,ITW,OP,NO,3,,,,,,,,,,
AI,IAL,ITW,OP,PH,0,,,,,,,,,,
AI,IAL,ITW,SC,NO,1,,,,,,,,,,
AI,IAL,ITW,SC,PH,0,,,,,,,,,,
AI,IAL,ITW,ST,NO,1,,,,,,,,,,
AI,IAL,ITW,ST,PH,0,,,,,,,,,,
AI,IAL,ITW,BC,NO,2,,,,,,,,,,
AI,IAL,ITW,BC,PH,0,,,,,,,,,,
AI,IAL,ITY,OP,NO,68,,,,,,,,,,
AI,IAL,ITY,OP,PH,2,,,,,,,,,,
AI,IAL,ITY,SC,NO,20,,,,,,,,,,
AI,IAL,ITY,SC,PH,1,,,,,,,,,,
AI,IAL,ITY,ST,NO,10,,,,,,,,,,
AI,IAL,ITY,ST,PH,1,,,,,,,,,,
AI,IAL,ITY,BC,NO,37,,,,,,,,,,
AI,IAL,ITY,BC,PH,1,,,,,,,,,,
AI,ICH,CSE,OP,NO,29,,,,,,,,,,
AI,ICH,CSE,OP,PH,1,,,,,,,,,,
AI,ICH,CSE,SC,NO,9,,,,,,,,,,
AI,ICH,CSE,SC,PH,0,,,,,,,,,,
AI,ICH,CSE,ST,NO,4,,,,,,,,,,
AI,ICH,CSE,ST,PH,0,,,,,,,,,,
AI,ICH,CSE,BC,NO,16,,,,,,,,,,
AI,ICH,CSE,BC,PH,1,,,,,,,,,,
AI,ICH,ECE,OP,NO,29,,,,,,,,,,
AI,ICH,ECE,OP,PH,1,,,,,,,,,,
AI,ICH,ECE,SC,NO,9,,,,,,,,,,
AI,ICH,ECE,SC,PH,0,,,,,,,,,,
AI,ICH,ECE,ST,NO,4,,,,,,,,,,
AI,ICH,ECE,ST,PH,0,,,,,,,,,,
AI,ICH,ECE,BC,NO,16,,,,,,,,,,
AI,ICH,ECE,BC,PH,1,,,,,,,,,,
AI,IGJ,CSE,OP,NO,40,,,,,,,,,,
AI,IGJ,CSE,OP,PH,1,,,,,,,,,,
AI,IGJ,CSE,SC,NO,11,,,,,,,,,,
AI,IGJ,CSE,SC,PH,1,,,,,,,,,,
AI,IGJ,CSE,ST,NO,6,,,,,,,,,,
AI,IGJ,CSE,ST,PH,0,,,,,,,,,,
AI,IGJ,CSE,BC,NO,20,,,,,,,,,,
AI,IGJ,CSE,BC,PH,1,,,,,,,,,,
AI,IGJ,ITY,OP,NO,39,,,,,,,,,,
AI,IGJ,ITY,OP,PH,1,,,,,,,,,,
AI,IGJ,ITY,SC,NO,12,,,,,,,,,,
AI,IGJ,ITY,SC,PH,0,,,,,,,,,,
AI,IGJ,ITY,ST,NO,6,,,,,,,,,,
AI,IGJ,ITY,ST,PH,0,,,,,,,,,,
AI,IGJ,ITY,BC,NO,21,,,,,,,,,,
AI,IGJ,ITY,BC,PH,1,,,,,,,,,,
AI,IGU,CSE,OP,NO,15,,,,,,,,,,
AI,IGU,CSE,OP,PH,0,,,,,,,,,,
AI,IGU,CSE,SC,NO,5,,,,,,,,,,
AI,IGU,CSE,SC,PH,0,,,,,,,,,,
AI,IGU,CSE,ST,NO,2,,,,,,,,,,
AI,IGU,CSE,ST,PH,0,,,,,,,,,,
AI,IGU,CSE,BC,NO,8,,,,,,,,,,
AI,IGU,CSE,BC,PH,0,,,,,,,,,,
AI,IGU,ECE,OP,NO,15,,,,,,,,,,
AI,IGU,ECE,OP,PH,0,,,,,,,,,,
AI,IGU,ECE,SC,NO,5,,,,,,,,,,
AI,IGU,ECE,SC,PH,0,,,,,,,,,,
AI,IGU,ECE,ST,NO,2,,,,,,,,,,
AI,IGU,ECE,ST,PH,0,,,,,,,,,,
AI,IGU,ECE,BC,NO,8,,,,,,,,,,
AI,IGU,ECE,BC,PH,0,,,,,,,,,,
AI,IGW,IMM,OP,NO,65,,,,,,,,,,
AI,IGW,IMM,OP,PH,1,,,,,,,,,,
AI,IGW,IMM,SC,NO,15,,,,,,,,,,
AI,IGW,IMM,SC,PH,1,,,,,,,,,,
AI,IGW,IMM,ST,NO,8,,,,,,,,,,
AI,IGW,IMM,ST,PH,1,,,,,,,,,,
AI,IGW,IMM,BC,NO,37,,,,,,,,,,
AI,IGW,IMM,BC,PH,1,,,,,,,,,,
AI,IJL,CSE,OP,NO,42,,,,,,,,,,
AI,IJL,CSE,OP,PH,1,,,,,,,,,,
AI,IJL,CSE,SC,NO,13,,,,,,,,,,
AI,IJL,CSE,SC,PH,0,,,,,,,,,,
AI,IJL,CSE,ST,NO,7,,,,,,,,,,
AI,IJL,CSE,ST,PH,0,,,,,,,,,,
AI,IJL,CSE,BC,NO,23,,,,,,,,,,
AI,IJL,CSE,BC,PH,1,,,,,,,,,,
AI,IJL,ECE,OP,NO,43,,,,,,,,,,
AI,IJL,ECE,OP,PH,1,,,,,,,,,,
AI,IJL,ECE,SC,NO,12,,,,,,,,,,
AI,IJL,ECE,SC,PH,1,,,,,,,,,,
AI,IJL,ECE,ST,NO,6,,,,,,,,,,
AI,IJL,ECE,ST,PH,0,,,,,,,,,,
AI,IJL,ECE,BC,NO,23,,,,,,,,,,
AI,IJL,ECE,BC,PH,1,,,,,,,,,,
AI,IJL,MEC,OP,NO,42,,,,,,,,,,
AI,IJL,MEC,OP,PH,2,,,,,,,,,,
AI,IJL,MEC,SC,NO,13,,,,,,,,,,
AI,IJL,MEC,SC,PH,0,,,,,,,,,,
AI,IJL,MEC,ST,NO,6,,,,,,,,,,
AI,IJL,MEC,ST,PH,1,,,,,,,,,,
AI,IJL,MEC,BC,NO,23,,,,,,,,,,
AI,IJL,MEC,BC,PH,0,,,,,,,,,,
AI,IKL,ITY,OP,NO,29,,,,,,,,,,
AI,IKL,ITY,OP,PH,1,,,,,,,,,,
AI,IKL,ITY,SC,NO,9,,,,,,,,,,
AI,IKL,ITY,SC,PH,0,,,,,,,,,,
AI,IKL,ITY,ST,NO,5,,,,,,,,,,
AI,IKL,ITY,ST,PH,0,,,,,,,,,,
AI,IKL,ITY,BC,NO,15,,,,,,,,,,
AI,IKL,ITY,BC,PH,1,,,,,,,,,,
AI,IKP,CED,OP,NO,20,,,,,,,,,,
AI,IKP,CED,OP,PH,1,,,,,,,,,,
AI,IKP,CED,SC,NO,6,,,,,,,,,,
AI,IKP,CED,SC,PH,0,,,,,,,,,,
AI,IKP,CED,ST,NO,3,,,,,,,,,,
AI,IKP,CED,ST,PH,0,,,,,,,,,,
AI,IKP,CED,BC,NO,10,,,,,,,,,,
AI,IKP,CED,BC,PH,0,,,,,,,,,,
AI,IKP,COE,OP,NO,19,,,,,,,,,,
AI,IKP,COE,OP,PH,1,,,,,,,,,,
AI,IKP,COE,SC,NO,6,,,,,,,,,,
AI,IKP,COE,SC,PH,0,,,,,,,,,,
AI,IKP,COE,ST,NO,3,,,,,,,,,,
AI,IKP,COE,ST,PH,0,,,,,,,,,,
AI,IKP,COE,BC,NO,11,,,,,,,,,,
AI,IKP,COE,BC,PH,0,,,,,,,,,,
AI,IKP,EDM,OP,NO,18,,,,,,,,,,
AI,IKP,EDM,OP,PH,1,,,,,,,,,,
AI,IKP,EDM,SC,NO,7,,,,,,,,,,
AI,IKP,EDM,SC,PH,0,,,,,,,,,,
AI,IKP,EDM,ST,NO,4,,,,,,,,,,
AI,IKP,EDM,ST,PH,0,,,,,,,,,,
AI,IKP,EDM,BC,NO,10,,,,,,,,,,
AI,IKP,EDM,BC,PH,0,,,,,,,,,,
AI,IKP,ESD,OP,NO,10,,,,,,,,,,
AI,IKP,ESD,OP,PH,0,,,,,,,,,,
AI,IKP,ESD,SC,NO,3,,,,,,,,,,
AI,IKP,ESD,SC,PH,0,,,,,,,,,,
AI,IKP,ESD,ST,NO,1,,,,,,,,,,
AI,IKP,ESD,ST,PH,0,,,,,,,,,,
AI,IKP,ESD,BC,NO,6,,,,,,,,,,
AI,IKP,ESD,BC,PH,0,,,,,,,,,,
AI,IKP,EVD,OP,NO,9,,,,,,,,,,
AI,IKP,EVD,OP,PH,1,,,,,,,,,,
AI,IKP,EVD,SC,NO,3,,,,,,,,,,
AI,IKP,EVD,SC,PH,0,,,,,,,,,,
AI,IKP,EVD,ST,NO,2,,,,,,,,,,
AI,IKP,EVD,ST,PH,0,,,,,,,,,,
AI,IKP,EVD,BC,NO,5,,,,,,,,,,
AI,IKP,EVD,BC,PH,0,,,,,,,,,,
AI,IKP,MDM,OP,NO,20,,,,,,,,,,
AI,IKP,MDM,OP,PH,1,,,,,,,,,,
AI,IKP,MDM,SC,NO,5,,,,,,,,,,
AI,IKP,MDM,SC,PH,0,,,,,,,,,,
AI,IKP,MDM,ST,NO,3,,,,,,,,,,
AI,IKP,MDM,ST,PH,0,,,,,,,,,,
AI,IKP,MDM,BC,NO,10,,,,,,,,,,
AI,IKP,MDM,BC,PH,1,,,,,,,,,,
AI,IKP,MFD,OP,NO,10,,,,,,,,,,
AI,IKP,MFD,OP,PH,0,,,,,,,,,,
AI,IKP,MFD,SC,NO,3,,,,,,,,,,
AI,IKP,MFD,SC,PH,0,,,,,,,,,,
AI,IKP,MFD,ST,NO,1,,,,,,,,,,
AI,IKP,MFD,ST,PH,0,,,,,,,,,,
AI,IKP,MFD,BC,NO,5,,,,,,,,,,
AI,IKP,MFD,BC,PH,1,,,,,,,,,,
AI,IKP,MPD,OP,NO,10,,,,,,,,,,
AI,IKP,MPD,OP,PH,0,,,,,,,,,,
AI,IKP,MPD,SC,NO,3,,,,,,,,,,
AI,IKP,MPD,SC,PH,0,,,,,,,,,,
AI,IKP,MPD,ST,NO,2,,,,,,,,,,
AI,IKP,MPD,ST,PH,0,,,,,,,,,,
AI,IKP,MPD,BC,NO,5,,,,,,,,,,
AI,IKP,MPD,BC,PH,0,,,,,,,,,,
AI,IKT,COE,OP,NO,14,,,,,,,,,,
AI,IKT,COE,OP,PH,1,,,,,,,,,,
AI,IKT,COE,SC,NO,5,,,,,,,,,,
AI,IKT,COE,SC,PH,0,,,,,,,,,,
AI,IKT,COE,ST,NO,2,,,,,,,,,,
AI,IKT,COE,ST,PH,0,,,,,,,,,,
AI,IKT,COE,BC,NO,7,,,,,,,,,,
AI,IKT,COE,BC,PH,1,,,,,,,,,,
AI,IUN,CSE,OP,NO,15,,,,,,,,,,
AI,IUN,CSE,OP,PH,1,,,,,,,,,,
AI,IUN,CSE,SC,NO,4,,,,,,,,,,
AI,IUN,CSE,SC,PH,0,,,,,,,,,,
AI,IUN,CSE,ST,NO,2,,,,,,,,,,
AI,IUN,CSE,ST,PH,0,,,,,,,,,,
AI,IUN,CSE,BC,NO,8,,,,,,,,,,
AI,IUN,CSE,BC,PH,0,,,,,,,,,,
AI,IUN,ECE,OP,NO,15,,,,,,,,,,
AI,IUN,ECE,OP,PH,0,,,,,,,,,,
AI,IUN,ECE,SC,NO,4,,,,,,,,,,
AI,IUN,ECE,SC,PH,1,,,,,,,,,,
AI,IUN,ECE,ST,NO,2,,,,,,,,,,
AI,IUN,ECE,ST,PH,0,,,,,,,,,,
AI,IUN,ECE,BC,NO,8,,,,,,,,,,
AI,IUN,ECE,BC,PH,0,,,,,,,,,,
HS,NAG,BIO,OP,NO,8,TR,,,,,,,,,
HS,NAG,BIO,OP,PH,0,TR,,,,,,,,,
HS,NAG,BIO,SC,NO,3,TR,,,,,,,,,
HS,NAG,BIO,SC,PH,0,TR,,,,,,,,,
HS,NAG,BIO,ST,NO,4,TR,,,,,,,,,
HS,NAG,BIO,ST,PH,0,TR,,,,,,,,,
HS,NAG,BIO,BC,NO,0,TR,,,,,,,,,
HS,NAG,BIO,BC,PH,0,TR,,,,,,,,,
OS,NAG,BIO,OP,NO,7,TR,,,,,,,,,
OS,NAG,BIO,OP,PH,1,TR,,,,,,,,,
OS,NAG,BIO,SC,NO,2,TR,,,,,,,,,
OS,NAG,BIO,SC,PH,0,TR,,,,,,,,,
OS,NAG,BIO,ST,NO,1,TR,,,,,,,,,
OS,NAG,BIO,ST,PH,0,TR,,,,,,,,,
OS,NAG,BIO,BC,NO,4,TR,,,,,,,,,
OS,NAG,BIO,BC,PH,0,TR,,,,,,,,,
HS,NAG,CHE,OP,NO,14,TR,,,,,,,,,
HS,NAG,CHE,OP,PH,1,TR,,,,,,,,,
HS,NAG,CHE,SC,NO,5,TR,,,,,,,,,
HS,NAG,CHE,SC,PH,0,TR,,,,,,,,,
HS,NAG,CHE,ST,NO,10,TR,,,,,,,,,
HS,NAG,CHE,ST,PH,0,TR,,,,,,,,,
HS,NAG,CHE,BC,NO,0,TR,,,,,,,,,
HS,NAG,CHE,BC,PH,0,TR,,,,,,,,,
OS,NAG,CHE,OP,NO,15,TR,,,,,,,,,
OS,NAG,CHE,OP,PH,0,TR,,,,,,,,,
OS,NAG,CHE,SC,NO,5,TR,,,,,,,,,
OS,NAG,CHE,SC,PH,0,TR,,,,,,,,,
OS,NAG,CHE,ST,NO,2,TR,,,,,,,,,
OS,NAG,CHE,ST,PH,0,TR,,,,,,,,,
OS,NAG,CHE,BC,NO,8,TR,,,,,,,,,
OS,NAG,CHE,BC,PH,0,TR,,,,,,,,,
HS,NAG,CHY,OP,NO,5,TR,,,,,,,,,
HS,NAG,CHY,OP,PH,0,TR,,,,,,,,,
HS,NAG,CHY,SC,NO,2,TR,,,,,,,,,
HS,NAG,CHY,SC,PH,0,TR,,,,,,,,,
HS,NAG,CHY,ST,NO,3,TR,,,,,,,,,
HS,NAG,CHY,ST,PH,0,TR,,,,,,,,,
HS,NAG,CHY,BC,NO,0,TR,,,,,,,,,
HS,NAG,CHY,BC,PH,0,TR,,,,,,,,,
OS,NAG,CHY,OP,NO,5,TR,,,,,,,,,
OS,NAG,CHY,OP,PH,0,TR,,,,,,,,,
OS,NAG,CHY,SC,NO,2,TR,,,,,,,,,
OS,NAG,CHY,SC,PH,0,TR,,,,,,,,,
OS,NAG,CHY,ST,NO,0,TR,,,,,,,,,
OS,NAG,CHY,ST,PH,0,TR,,,,,,,,,
OS,NAG,CHY,BC,NO,3,TR,,,,,,,,,
OS,NAG,CHY,BC,PH,0,TR,,,,,,,,,
HS,NAG,CIV,OP,NO,47,TR,,,,,,,,,
HS,NAG,CIV,OP,PH,0,TR,,,,,,,,,
HS,NAG,CIV,SC,NO,14,TR,,,,,,,,,
HS,NAG,CIV,SC,PH,1,TR,,,,,,,,,
HS,NAG,CIV,ST,NO,27,TR,,,,,,,,,
HS,NAG,CIV,ST,PH,1,TR,,,,,,,,,
HS,NAG,CIV,BC,NO,0,TR,,,,,,,,,
HS,NAG,CIV,BC,PH,0,TR,,,,,,,,,
OS,NAG,CIV,OP,NO,44,TR,,,,,,,,,
OS,NAG,CIV,OP,PH,3,TR,,,,,,,,,
OS,NAG,CIV,SC,NO,14,TR,,,,,,,,,
OS,NAG,CIV,SC,PH,0,TR,,,,,,,,,
OS,NAG,CIV,ST,NO,7,TR,,,,,,,,,
OS,NAG,CIV,ST,PH,0,TR,,,,,,,,,
OS,NAG,CIV,BC,NO,26,TR,,,,,,,,,
OS,NAG,CIV,BC,PH,0,TR,,,,,,,,,
HS,NAG,CSE,OP,NO,23,TR,,,,,,,,,
HS,NAG,CSE,OP,PH,0,TR,,,,,,,,,
HS,NAG,CSE,SC,NO,6,TR,,,,,,,,,
HS,NAG,CSE,SC,PH,1,TR,,,,,,,,,
HS,NAG,CSE,ST,NO,14,TR,,,,,,,,,
HS,NAG,CSE,ST,PH,0,TR,,,,,,,,,
HS,NAG,CSE,BC,NO,0,TR,,,,,,,,,
HS,NAG,CSE,BC,PH,0,TR,,,,,,,,,
OS,NAG,CSE,OP,NO,22,TR,,,,,,,,,
OS,NAG,CSE,OP,PH,1,TR,,,,,,,,,
OS,NAG,CSE,SC,NO,7,TR,,,,,,,,,
OS,NAG,CSE,SC,PH,0,TR,,,,,,,,,
